tmdb_id,title,year,genres
15,Citizen Kane,1941,"['Mystery', 'Drama']"
238,The Godfather,1972,"['Drama', 'Crime']"
289,Casablanca,1942,"['Drama', 'Romance']"
1578,Raging Bull,1980,"['Drama', 'History']"
872,Singin' in the Rain,1952,"['Comedy', 'Romance']"
770,Gone with the Wind,1939,"['Drama', 'War', 'Romance']"
947,Lawrence of Arabia,1962,"['Adventure', 'Drama', 'History', 'War']"
424,Schindler's List,1993,"['Drama', 'History', 'War']"
868837,Vertigo,2021,['Documentary']
630,The Wizard of Oz,1939,"['Adventure', 'Fantasy', 'Family']"
901,City Lights,1931,"['Comedy', 'Romance', 'Drama']"
3114,The Searchers,1956,['Western']
11,Star Wars,1977,"['Adventure', 'Action', 'Science Fiction']"
1012652,Psycho-Pass: Providence,2023,"['Animation', 'Crime', 'Mystery', 'Thriller']"
62,2001: A Space Odyssey,1968,"['Science Fiction', 'Mystery', 'Adventure']"
664159,Ed Ruscha - Motorized Photographs of Sunset Blvd. and Other L.A. Streets,2019,['Documentary']
37247,The Graduate,1967,"['Comedy', 'Drama', 'Romance']"
37316,A Bullet for the General,1967,['Western']
654,On the Waterfront,1954,"['Crime', 'Drama']"
1585,It's a Wonderful Life,1946,"['Drama', 'Family', 'Fantasy']"
602666,Detective Chinatown 3,2021,"['Action', 'Comedy', 'Mystery']"
239,Some Like It Hot,1959,"['Comedy', 'Music', 'Romance', 'Crime']"
596,The Grapes of Wrath,1940,['Drama']
601,E.T. the Extra-Terrestrial,1982,"['Science Fiction', 'Adventure', 'Family', 'Fantasy']"
595,To Kill a Mockingbird,1962,"['Drama', 'Crime']"
3083,Mr. Smith Goes to Washington,1939,"['Comedy', 'Drama']"
288,High Noon,1952,"['Western', 'Drama']"
705,All About Eve,1950,['Drama']
996,Double Indemnity,1944,"['Crime', 'Thriller', 'Romance']"
28,Apocalypse Now,1979,"['Drama', 'War']"
963,The Maltese Falcon,1941,"['Mystery', 'Crime', 'Thriller']"
240,The Godfather Part II,1974,"['Drama', 'Crime']"
510,One Flew Over the Cuckoo's Nest,1975,['Drama']
408,Snow White and the Seven Dwarfs,1937,"['Fantasy', 'Animation', 'Family']"
703,Annie Hall,1977,"['Comedy', 'Drama', 'Romance']"
826,The Bridge on the River Kwai,1957,"['Drama', 'History', 'War']"
887,The Best Years of Our Lives,1946,"['Drama', 'Romance', 'War']"
3090,The Treasure of the Sierra Madre,1948,"['Adventure', 'Drama', 'Western']"
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"['Drama', 'Comedy', 'War']"
15121,The Sound of Music,1965,"['Drama', 'Family', 'Music', 'Romance']"
1680,King Kong vs. Godzilla,1962,"['Action', 'Adventure', 'Science Fiction']"
475,Bonnie and Clyde,1967,"['Crime', 'Drama']"
3116,Midnight Cowboy,1969,['Drama']
981,The Philadelphia Story,1940,"['Comedy', 'Romance']"
3110,Shane,1953,"['Drama', 'Western']"
3078,It Happened One Night,1934,"['Comedy', 'Romance']"
702,A Streetcar Named Desire,1951,['Drama']
567,Rear Window,1954,"['Thriller', 'Mystery']"
742943,Intolerance: No More,2020,['Drama']
120,The Lord of the Rings: The Fellowship of the Ring,2001,"['Adventure', 'Fantasy', 'Action']"
511809,West Side Story,2021,"['Drama', 'Romance', 'Crime']"
103,Taxi Driver,1976,"['Crime', 'Drama']"
