Title,Score
His House,100%
How to Train Your Dragon,99%
The Forty-Year-Old Version,99%
Under the Shadow,99%
Ma Rainey's Black Bottom,97%
Dolemite Is My Name,97%
Hunt for the Wilderpeople,97%
Mudbound,97%
Chicken Run,97%
I Lost My Body,97%
Rocks,97%
Roma,96%
Atlantics,96%
Psycho,96%
Monty Python and the Holy Grail,96%
Life of Brian,96%
To All the Boys I've Loved Before,96%
American Graffiti,96%
Outside In,96%
The Irishman,95%
Marriage Story,95%
It Follows,95%
Emily the Criminal,95%
Klaus,95%
Call Me by Your Name,94%
The Power of the Dog,94%
Star Trek,94%
Carol,94%
The Lost Daughter,94%
Groundhog Day,94%
The Sea Beast,94%
Private Life,94%
Enola Holmes 2,94%
The Birds,94%
Captain Phillips,93%
Spider-Man 2,93%
Hustle,93%
Cam,93%
Nimona,94%
Sand Storm,93%
Dunkirk,92%
Glass Onion: A Knives Out Mystery,92%
Skyfall,92%
Da 5 Bloods,92%
American Hustle,92%
The Meyerowitz Stories (New and Selected),92%
Traffic,92%
The Squid and the Whale,92%
El Camino: A Breaking Bad Movie,92%
We the Animals,92%
The Little Prince,92%
Roald Dahl's Matilda the Musical,92%
Rocky,92%
Set It Up,92%
Mindhorn,92%
1922,92%
Uncorked,92%
La La Land,91%
Phantom Thread,91%
The Nice Guys,91%
The White Tiger,91%
Beasts of No Nation,91%
High Flying Bird,91%
Apollo 10 1/2: A Space Age Childhood,91%
Happy as Lazzaro,91%
Terminator 2: Judgment Day,91%
Gerald's Game,91%
When Harry Met Sally...,91%
The Willoughbys,91%
National Lampoon's Animal House,91%
The Imitation Game,90%
Spider-Man,90%
The Two Popes,90%
All Quiet on the Western Front,90%
The Kindergarten Teacher,90%
Reservoir Dogs,90%
On Body and Soul,90%
The Trial of the Chicago 7,89%
Bridesmaids,89%
Zombieland,89%
The Ballad of Buster Scruggs,89%
Always Be My Maybe,89%
I Am Mother,89%
I Don't Feel at Home in This World Anymore,89%
Paddleton,89%
The Karate Kid,89%
Titanic,88%
Rush,88%
Rango,88%
The Bad Guys,88%
Dope,88%
Oxygen,88%
Fear Street Part Three: 1666,88%
Donnie Brasco,88%
The Breaker Upperers,88%
Inception,87%
Pride & Prejudice,87%
Fear Street Part Two: 1978,87%
My Father's Dragon,87%
Inside Man,86%
